mode,seed,scorer,alpha,topk,smooth,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC,beta
net_only,2024,hybrid,,,12,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5146494623555914,0.10434285083400018,0.5
net_only,2024,hybrid,,,20,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5101393757285642,0.10349520583567018,0.5
net_only,2024,hybrid,,,30,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5073842369442605,0.10379590204326809,0.5
net_only,2024,hybrid,,,40,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5053731018823003,0.10389002198502598,0.5
net_only,2024,hybrid,,,1,0.8809993425378041,0.0,0.0,0.0,0.01705483220245736,5360,93,631,0,0.505206136984454,0.12223349235156544,0.75
net_only,2024,hybrid,,,2,0.8813280736357659,0.0,0.0,0.0,0.016688061617458276,5362,91,631,0,0.49592033115140677,0.13110630329994222,0.75
net_only,2024,hybrid,,,3,0.8813280736357659,0.0,0.0,0.0,0.016688061617458276,5362,91,631,0,0.48531464527733464,0.12953981761932684,0.75
net_only,2024,hybrid,,,5,0.8801775147928994,0.0,0.0,0.0,0.017971758664955068,5355,98,631,0,0.469521567825094,0.1257090677450187,0.75
net_only,2024,hybrid,,,8,0.878698224852071,0.0,0.0,0.0,0.019622226297450942,5346,107,631,0,0.4629404770865744,0.1226978394195104,0.75
net_only,2024,hybrid,,,12,0.87853385930309,0.0,0.0,0.0,0.01980561158995048,5345,108,631,0,0.45445956121799214,0.12105638152556632,0.75
net_only,2024,hybrid,,,20,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.4521798873124987,0.11980661341913838,0.75
net_only,2024,hybrid,,,30,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.44917975042743885,0.11697723502737822,0.75
net_only,2024,hybrid,,,40,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.4495904056069981,0.11624179363331018,0.75
net_only,2024,hybrid,,,1,0.8834648257725181,0.0,0.0,0.0,0.014304052814964238,5375,78,631,0,0.5040569999851781,0.12761313796760454,0.9
net_only,2024,hybrid,,,2,0.8852728468113084,0.0,0.0,0.0,0.01228681459746928,5386,67,631,0,0.49183761072504617,0.12709192529246116,0.9
net_only,2024,hybrid,,,3,0.8869165023011177,0.0,0.0,0.0,0.010452961672473867,5396,57,631,0,0.4812910673343712,0.12805390804328598,0.9
net_only,2024,hybrid,,,5,0.8883957922419461,0.0,0.0,0.0,0.008802494039977992,5405,48,631,0,0.4649860513833383,0.13024977144445318,0.9
net_only,2024,hybrid,,,8,0.8898750821827744,0.0,0.0,0.0,0.007152026407482119,5414,39,631,0,0.45939774061182104,0.13516950132856564,0.9
net_only,2024,hybrid,,,12,0.8916831032215647,0.08823529411764706,0.004754358161648178,0.009022556390977444,0.005684944067485787,5422,31,628,3,0.4493554341189063,0.14511268247504355,0.9
net_only,2024,hybrid,,,20,0.8976002629848784,0.6,0.03803486529318542,0.07153502235469449,0.002934164679992664,5437,16,607,24,0.4439375757626838,0.16496696932265426,0.9
net_only,2024,hybrid,,,30,0.8972715318869166,0.5789473684210527,0.03486529318541997,0.06576980568011959,0.002934164679992664,5437,16,609,22,0.4384460436003619,0.16770960135112756,0.9
net_only,2024,hybrid,,,40,0.8951347797501643,0.43636363636363634,0.03803486529318542,0.06997084548104957,0.005684944067485787,5422,31,607,24,0.43811124192530726,0.16190360765968426,0.9
