criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TESTACC_F1,0.10397553516819572,net_only,hybrid,2024,1.0,20.0,20,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8805860805860806,0.13147410358565736,0.05238095238095238,0.07491486946651532,0.3977996848456897,0.08064706371136171,0.7345054945054945,0.11089303238469088,0.8282783882783883,0.10397553516819572,0.7345054945054945,0.11089303238469088,0.15789473684210525
TESTHY_F1,0.17173913043478262,net_only,hybrid,42,1.0,20.0,30,0.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8959764474975466,0.0,0.0,0.0,0.43959697063283265,0.11177756944621346,0.6261040235525025,0.17173913043478262,0.8972849198560681,0.0,0.6261040235525025,0.17173913043478262,0.0
TEST_ROC-AUC,0.467479062838069,net_only,hybrid,7,1.0,20.0,2,0.9,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8963654223968566,0.0,0.0,0.0,0.467479062838069,0.12788348190253593,0.8955468238375901,0.07803468208092486,0.8963654223968566,0.0,0.8955468238375901,0.07803468208092486,0.0
TEST_PR-AUC,0.12788348190253593,net_only,hybrid,7,1.0,20.0,2,0.9,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8963654223968566,0.0,0.0,0.0,0.467479062838069,0.12788348190253593,0.8955468238375901,0.07803468208092486,0.8963654223968566,0.0,0.8955468238375901,0.07803468208092486,0.0
TEST_Accuracy,0.8967893270781411,net_only,semisup,31337,,,40,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8967893270781411,0.0,0.0,0.0,0.2838795500283233,0.0636858125573835,0.4747104530127547,0.08573615718295484,0.9069051458730392,0.0,0.4747104530127547,0.08573615718295484,0.0
TESTACC_Accuracy,0.9069051458730392,net_only,semisup,31337,,,40,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8967893270781411,0.0,0.0,0.0,0.2838795500283233,0.0636858125573835,0.4747104530127547,0.08573615718295484,0.9069051458730392,0.0,0.4747104530127547,0.08573615718295484,0.0
TESTOP_Accuracy,0.8901440733464309,net_only,semisup,7,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8966928618205632,0.5454545454545454,0.00949367088607595,0.01866251944012442,0.41168467582361695,0.14343965863305724,0.8901440733464309,0.14955640050697086,0.8965291421087099,0.0,0.8901440733464309,0.14955640050697086,0.058823529411764705
TESTHY_Accuracy,0.8901440733464309,net_only,semisup,7,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8966928618205632,0.5454545454545454,0.00949367088607595,0.01866251944012442,0.41168467582361695,0.14343965863305724,0.8901440733464309,0.14955640050697086,0.8965291421087099,0.0,0.8901440733464309,0.14955640050697086,0.058823529411764705
TEST_F1,0.07491486946651532,net_only,semisup,2024,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8805860805860806,0.13147410358565736,0.05238095238095238,0.07491486946651532,0.3977996848456897,0.08064706371136171,0.7345054945054945,0.11089303238469088,0.8282783882783883,0.10397553516819572,0.7345054945054945,0.11089303238469088,0.15789473684210525
TESTOP_F1,0.18389766741911212,net_only,semisup,42,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8961400065423618,0.41025641025641024,0.025477707006369428,0.047976011994003,0.5394971798509698,0.20876673319769937,0.1130192999672882,0.18389766741911212,0.8984298331697743,0.04900459418070444,0.1130192999672882,0.18389766741911212,0.0625
