mode,seed,scorer,target_FPR,threshold,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC
fused,2024,unsup,0.002,7.1138376936526235,0.9364102564102564,0.8740458015267175,0.3634920634920635,0.5134529147982063,0.00532687651331719,6162,33,401,229,0.7291581792792446,0.5144105698599363
fused,2024,unsup,0.005,6.165936379671439,0.9371428571428572,0.8316831683168316,0.4,0.5401929260450161,0.008232445520581113,6144,51,378,252,0.7291581792792446,0.5144105698599363
fused,2024,unsup,0.01,5.551891575783655,0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.014043583535108957,6108,87,373,257,0.7291581792792446,0.5144105698599363
fused,2024,unsup,0.02,4.848672865296044,0.9219047619047619,0.6104783599088838,0.4253968253968254,0.5014031805425632,0.02760290556900726,6024,171,362,268,0.7291581792792446,0.5144105698599363
fused,2024,unsup,0.05,3.832951023396731,0.8987545787545788,0.45508100147275404,0.49047619047619045,0.4721161191749427,0.059725585149313955,5825,370,321,309,0.7291581792792446,0.5144105698599363
fused,2024,unsup,0.1,3.086750678299906,0.84996336996337,0.31309297912713474,0.5238095238095238,0.3919239904988123,0.11686844229217108,5471,724,300,330,0.7291581792792446,0.5144105698599363
fused,2024,semisup,0.001,4.861737923519335,0.9343589743589743,0.9026548672566371,0.3238095238095238,0.4766355140186916,0.003551251008878127,6173,22,426,204,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.002,4.21061017161739,0.9345054945054945,0.8828451882845189,0.3349206349206349,0.4856156501726122,0.004519774011299434,6167,28,419,211,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.005,3.5709480745189324,0.9317216117216117,0.7992700729927007,0.3476190476190476,0.48451327433628316,0.008878127522195318,6140,55,411,219,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.01,3.127794079676693,0.9295238095238095,0.7475083056478405,0.35714285714285715,0.4833512352309345,0.012267958030669893,6119,76,405,225,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.02,2.4343684087781536,0.916043956043956,0.5676959619952494,0.37936507936507935,0.4548049476688868,0.029378531073446325,6013,182,391,239,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.05,1.8408289533451638,0.8904029304029304,0.40752351097178685,0.4126984126984127,0.41009463722397477,0.06101694915254236,5817,378,370,260,0.6711892591311477,0.44877893857741424
fused,2024,semisup,0.1,1.3579159247273407,0.8369230769230769,0.2680115273775216,0.44285714285714284,0.3339317773788151,0.12300242130750604,5433,762,351,279,0.6711892591311477,0.44877893857741424
fused,2024,hybrid,0.001,8.986874681485098,0.9296703296703297,0.9261363636363636,0.25873015873015875,0.4044665012406948,0.002098466505246166,6182,13,467,163,0.7291581792792446,0.5144105698599363
fused,2024,hybrid,0.002,7.1138376936526235,0.9364102564102564,0.8740458015267175,0.3634920634920635,0.5134529147982063,0.00532687651331719,6162,33,401,229,0.7291581792792446,0.5144105698599363
fused,2024,hybrid,0.005,6.165936379671439,0.9371428571428572,0.8316831683168316,0.4,0.5401929260450161,0.008232445520581113,6144,51,378,252,0.7291581792792446,0.5144105698599363
